"","n_pokoj","metrarz","cena_m2","rok","dzielnica"
"369",2,69.25,4950,NA,"Fabryczna"
"370",2,90.63,4950,NA,"Fabryczna"
"371",2,78.52,4950,NA,"Fabryczna"
"372",2,71.74,4950,NA,"Fabryczna"
"373",2,94.94,4950,NA,"Fabryczna"
"374",3,97.95,4950,NA,"Fabryczna"
"375",2,42.26,5786,NA,"Fabryczna"
"376",2,43.21,5785,NA,"Fabryczna"
"377",3,61.48,5530,NA,"Fabryczna"
"378",2,44.93,5786,NA,"Fabryczna"
"379",3,67.5,5763,NA,"Krzyki"
"380",2,48.5,9897,NA,"Stare Miasto"
"381",2,36,6083,1975,"Fabryczna"
"382",2,31.29,6679,1933,"Fabryczna"
"383",3,62,5129,1985,"Fabryczna"
"384",3,106,5755,1901,"Śródmieście"
"385",2,57.1,5762,2000,"Krzyki"
"386",2,35.1,8519,1960,"Stare Miasto"
"387",2,54.45,4389,NA,"Psie Pole"
"388",3,76,8684,NA,"Psie Pole"
"389",2,35.6,6601,1985,"Fabryczna"
"390",4,87.6,5422,1930,"Śródmieście"
"391",5,106,4245,NA,"Krzyki"
"392",3,85,5518,1930,"Śródmieście"
"393",4,69.03,5070,1995,"Stare Miasto"
"394",3,70.5,5376,NA,"Fabryczna"
"395",4,119,5294,NA,"Krzyki"
"396",2,46,8587,2015,"Krzyki"
"397",3,61.05,4586,1932,"Krzyki"
"398",3,52.6,5702,1994,"Fabryczna"
"399",2,53,6226,2009,"Krzyki"
"400",3,56,5946,2009,"Fabryczna"
"401",4,111.1,6697,2001,"Stare Miasto"
"402",4,95,4621,1920,"Śródmieście"
"403",4,116.9,7785,NA,"Śródmieście"
"404",2,57,5246,2001,"Fabryczna"
"405",2,70,7857,1750,"Stare Miasto"
"406",3,76.31,6539,NA,"Śródmieście"
"407",3,90.03,6054,NA,"Śródmieście"
"408",3,76.38,5106,NA,"Śródmieście"
"409",1,43.7,8924,NA,"Śródmieście"
"410",3,61.9,5719,1994,"Krzyki"
"411",2,52.4,5496,1982,"Fabryczna"
"412",2,47,5298,2011,"Psie Pole"
"413",2,55,5073,2015,"Psie Pole"
"414",3,57,7000,2017,NA
"415",2,59.51,4453,1930,NA
"416",4,84.88,4595,1936,"Fabryczna"
"417",3,129,4178,1930,"Stare Miasto"
"418",3,79,7342,2009,"Krzyki"
"419",2,53.04,4950,NA,"Fabryczna"
"420",4,79.64,5273,NA,"Fabryczna"
"421",4,67.58,5548,NA,"Fabryczna"
"422",4,74.18,5257,NA,"Fabryczna"
"423",2,42.18,5689,NA,"Fabryczna"
"424",2,43.13,5912,NA,"Fabryczna"
"425",4,73.93,5275,NA,"Fabryczna"
"426",3,61.42,5426,NA,"Fabryczna"
"427",3,49.47,5862,NA,"Fabryczna"
"428",2,42.85,5834,NA,"Fabryczna"
"429",4,73.57,5301,NA,"Fabryczna"
"430",3,61.06,5458,NA,"Fabryczna"
"431",2,34.19,5820,NA,"Fabryczna"
"432",3,64.5,6667,2005,"Fabryczna"
"433",3,70.4,5384,2007,"Fabryczna"
"434",2,43.92,7400,2014,"Krzyki"
"435",4,99.71,6017,2007,"Krzyki"
"436",3,73,7260,2006,"Krzyki"
"437",2,56,6071,1996,"Krzyki"
"438",3,56,6607,1998,"Krzyki"
"439",3,71.42,6721,NA,"Krzyki"
"440",3,56,6607,1998,"Fabryczna"
"441",3,73,7329,2006,"Fabryczna"
"442",2,56,6250,1996,"Krzyki"
"443",3,56,6161,1974,"Stare Miasto"
"444",4,72,4847,1990,"Krzyki"
"445",4,72,4861,1992,"Krzyki"
